row_id,document,text,source_index,gold_binary_old,gold_binary_new,gold_target_new,gold_pillar_old,gold_depth_old,gold_nature_old
P001,Lessons Learned: EPA’s Response to Hurricane Katrina,"• Coordination within EPA, with State and local officials, and with the U.S. Army Corps of Engineers (USACE) could have been better. In some instances, coordination problems resulted in duplicative work being completed by EPA and Louisiana officials. EPA Region 4 and USACE officials confirmed the need for more interaction between USACE and EPA before the next emergency.",0,0,0,none,none,none,none
P002,Lessons Learned: EPA’s Response to Hurricane Katrina,"EPA officials told us that, in some instances, coordination could be improved for future disaster responses. Areas where coordination could be improved occurred with respect to both the drinking water and wastewater responses. EPA regional officials and USACE district officials informed us of coordination problems between the EPA and USACE at the beginning of the response. USACE has lead responsibility for administering the NRP’s Emergency Support Function (ESF)-3. This ESF provides Federal support to address public works and infrastructure damage, including public drinking water systems, in an emergency. EPA has a support role under this ESF. EPA Region 6 officials said initial attempts to coordinate their drinking waterrelated work with the responsible USACE district were unsuccessful in part due to all of the parties’ limited understanding of each other’s roles in providing assistance under ESF-3. Region 4 officials noted the USACE district running the response in Mississippi was not aware of Region 4’s scientific and engineering expertise in problem-solving for drinking water and wastewater facilities damaged by a hurricane. Consequently, EPA Region 4 officials had to aggressively assert themselves into the process.",1,0,0,none,none,none,none
P003,Lessons Learned: EPA’s Response to Hurricane Katrina,"From our review of wastewater issues, we found at times that parts of EPA were not communicating. We also found that EPA could coordinate its work better with the States and with local wastewater facilities. According to LDEQ officials, parts of EPA – Region 6 National Pollutant Discharge Elimination System (NPDES) Permits and Region 6 Water Enforcement Branches – were not always talking or working together, and had asked for similar information from the State instead of coordinating with each other to get the information. According to LDEQ officials, there was also some duplication of effort in collecting information on the status of wastewater treatment facilities. EPA was primarily calling wastewater treatment facilities and Louisiana to determine the status of facilities. Louisiana was visiting facilities and flying aerial reconnaissance to determine the status of wastewater treatment facilities. However, the two agencies did not coordinate their efforts.",2,1,1,,,,
P004,Lessons Learned: EPA’s Response to Hurricane Katrina,"Communication is a key component of emergency response. In two instances brought to our attention, EPA visited two municipal wastewater facilities, asked if their facilities needed assistance, and were told that they needed generators. One facility never received the generators and the other received the generators too late to provide assistance. EPA officials informed us that they worked with USACE and Mississippi to develop a master list of needs that gave appropriate priority to water and wastewater services, and that the Army 249th Prime Power group that supports the USACE in providing generators for critical infrastructures used the master list. The EPA officials believe that the 249th power group used the master list to provide as timely service as possible to high and low priority facilities when scheduling daily site visits. EPA regional officials concurred that coordination issues existed following Hurricane Katrina. EPA Region 4 and 6 officials said that they have been proactive in taking steps to improve coordination for potential future disasters. According to Region 4 officials, Region 4 has or will be doing the following: • Providing training to senior officials on their roles and responsibilities in the incident command structure system; • Ensuring that additional resources are available for future disasters; • Establishing teams comprised of both drinking water and wastewater experts, which will be pre-deployed with the on-scene coordinators in future disasters; • Working with public health specialists who play a prominent role in national emergency situations; and • Working with its State partners to better document and define each agency's responsibilities and expectations for future disasters.",3,1,1,,,,
P005,Lessons Learned: EPA’s Response to Hurricane Katrina,"EPA regional officials concurred that tremendous communication issues existed following Hurricane Katrina. Both Regions 4 and 6 indicated they have taken a number of steps to improve communication during future disasters, including upgrading the current telecommunications equipment, planning to deploy additional staff during the next disaster, and reevaluating current communication standard operating procedures.",4,1,1,,,,
P006,Lessons Learned: EPA’s Response to Hurricane Katrina,"This memorandum addresses the fifth and final question of our drinking water evaluation – whether EPA followed its emergency response protocols, including those lessons learned from the World Trade Center collapse and its responsibilities as delineated in the National Response Plan (NRP), in responding to the Katrina disaster. Although this objective was not included in the scope of our other Katrina-related evaluations, this report includes relevant observations from those evaluations regarding our objective. In addition, this report presents lessons learned identified from all three Katrina-related evaluations.",5,1,1,,,,
P007,Lessons Learned: EPA’s Response to Hurricane Katrina,"Regional officials told us that the primary reasons the response to restoring drinking water supplies worked well were the good working relationships and collaborative planning between the State agencies and EPA regions prior to Hurricane Katrina. As a result of this planning, EPA staff were deployed to the impacted areas during the early stages of the hurricane response. This deployment included staff from other EPA regions who volunteered to assist State drinking water programs. Other factors that contributed to an effective response included the use of common reporting protocols for tracking water system status, the deployment of EPA mobile laboratories and an EPA mobile command center, and the existence of protocols to notify the public about the boil water notices though various media outlets.",6,0,0,none,none,none,none
P008,Lessons Learned: EPA’s Response to Hurricane Katrina,"• Coordination within EPA, as well as EPA’s coordination with State and local officials and the USACE, could have been better. In some instances, coordination problems resulted in duplicative work being completed by EPA and Louisiana officials.",7,1,1,,,,
P009,Lessons Learned: EPA’s Response to Hurricane Katrina,"• Initially, there were problems in New Orleans with the transport of drinking water in potentially hazardous tanker trucks. The Louisiana Department of Health and Hospitals, with assistance from EPA Region 6, established procedures, and EPA issued an administrative order to correct this situation in early October 2005. No adverse health effects were identified.",8,1,1,,,,
P010,Lessons Learned: EPA’s Response to Hurricane Katrina,"EPA Region 6 officials said initial attempts to coordinate their drinking waterrelated work with the responsible USACE district were unsuccessful in part due to all of the parties’ limited understanding of each other’s roles in providing assistance under ESF-3. Region 4 officials noted the USACE district running the response in Mississippi was not aware of Region 4’s scientific and engineering expertise in problem-solving for drinking water and wastewater facilities damaged by a hurricane. Consequently, EPA Region 4 officials had to aggressively assert themselves into the process.",9,1,1,,,,
